time_from_start_s,level,message
0.00,INFO,"Mister pulse started; ON until 0.25s, cooldown until 4.25s"
5.01,INFO,"Mister pulse started; ON until 5.26s, cooldown until 9.26s"
10.02,INFO,"Mister pulse started; ON until 10.27s, cooldown until 14.27s"
15.03,INFO,"Mister pulse started; ON until 15.28s, cooldown until 19.28s"
20.04,INFO,"Mister pulse started; ON until 20.29s, cooldown until 24.29s"
25.04,INFO,"Mister pulse started; ON until 25.29s, cooldown until 29.29s"
30.01,INFO,"Mister pulse started; ON until 30.26s, cooldown until 34.26s"
35.01,INFO,"Mister pulse started; ON until 35.26s, cooldown until 39.26s"
70.01,INFO,"Mister pulse started; ON until 70.26s, cooldown until 74.26s"
116.02,INFO,"Mister pulse started; ON until 116.27s, cooldown until 120.27s"
154.01,INFO,"Mister pulse started; ON until 154.26s, cooldown until 158.26s"
185.05,INFO,"Mister pulse started; ON until 185.30s, cooldown until 189.30s"
218.03,INFO,"Mister pulse started; ON until 218.28s, cooldown until 222.28s"
252.01,INFO,"Mister pulse started; ON until 252.26s, cooldown until 256.26s"
269.04,INFO,"Mister pulse started; ON until 269.29s, cooldown until 273.29s"
289.03,INFO,"Mister pulse started; ON until 289.28s, cooldown until 293.28s"
321.04,INFO,"Mister pulse started; ON until 321.29s, cooldown until 325.29s"
351.04,INFO,"Mister pulse started; ON until 351.29s, cooldown until 355.29s"
378.04,INFO,"Mister pulse started; ON until 378.29s, cooldown until 382.29s"
411.04,INFO,"Mister pulse started; ON until 411.29s, cooldown until 415.29s"
427.05,INFO,"Mister pulse started; ON until 427.30s, cooldown until 431.30s"
441.04,INFO,"Mister pulse started; ON until 441.29s, cooldown until 445.29s"
473.05,INFO,"Mister pulse started; ON until 473.30s, cooldown until 477.30s"
504.03,INFO,"Mister pulse started; ON until 504.28s, cooldown until 508.28s"
535.01,INFO,"Mister pulse started; ON until 535.26s, cooldown until 539.26s"
565.01,INFO,"Mister pulse started; ON until 565.26s, cooldown until 569.26s"
591.04,INFO,"Mister pulse started; ON until 591.29s, cooldown until 595.29s"
619.00,INFO,"Mister pulse started; ON until 619.25s, cooldown until 623.25s"
639.03,INFO,"Mister pulse started; ON until 639.28s, cooldown until 643.28s"
666.04,INFO,"Mister pulse started; ON until 666.29s, cooldown until 670.29s"
684.01,INFO,"Mister pulse started; ON until 684.26s, cooldown until 688.26s"
708.02,INFO,"Mister pulse started; ON until 708.27s, cooldown until 712.27s"
732.02,INFO,"Mister pulse started; ON until 732.27s, cooldown until 736.27s"
755.01,INFO,"Mister pulse started; ON until 755.26s, cooldown until 759.26s"
778.03,INFO,"Mister pulse started; ON until 778.28s, cooldown until 782.28s"
796.00,INFO,"Mister pulse started; ON until 796.25s, cooldown until 800.25s"
822.02,INFO,"Mister pulse started; ON until 822.27s, cooldown until 826.27s"
835.03,INFO,"Mister pulse started; ON until 835.28s, cooldown until 839.28s"
856.03,INFO,"Mister pulse started; ON until 856.28s, cooldown until 860.28s"
871.00,INFO,"Mister pulse started; ON until 871.25s, cooldown until 875.25s"
887.01,INFO,"Mister pulse started; ON until 887.26s, cooldown until 891.26s"
899.04,INFO,"Mister pulse started; ON until 899.29s, cooldown until 903.29s"
921.04,INFO,"Mister pulse started; ON until 921.29s, cooldown until 925.29s"
939.02,INFO,"Mister pulse started; ON until 939.27s, cooldown until 943.27s"
963.03,INFO,"Mister pulse started; ON until 963.28s, cooldown until 967.28s"
986.01,INFO,"Mister pulse started; ON until 986.26s, cooldown until 990.26s"
1010.01,INFO,"Mister pulse started; ON until 1010.26s, cooldown until 1014.26s"
1033.04,INFO,"Mister pulse started; ON until 1033.29s, cooldown until 1037.29s"
1054.02,INFO,"Mister pulse started; ON until 1054.27s, cooldown until 1058.27s"
1071.01,INFO,"Mister pulse started; ON until 1071.26s, cooldown until 1075.26s"
1091.04,INFO,"Mister pulse started; ON until 1091.29s, cooldown until 1095.29s"
1096.04,INFO,"Mister pulse started; ON until 1096.29s, cooldown until 1100.29s"
1121.03,INFO,"Mister pulse started; ON until 1121.28s, cooldown until 1125.28s"
1143.02,INFO,"Mister pulse started; ON until 1143.27s, cooldown until 1147.27s"
1161.04,INFO,"Mister pulse started; ON until 1161.29s, cooldown until 1165.29s"
1185.05,INFO,"Mister pulse started; ON until 1185.30s, cooldown until 1189.30s"
1206.00,INFO,"Mister pulse started; ON until 1206.25s, cooldown until 1210.25s"
1226.04,INFO,"Mister pulse started; ON until 1226.29s, cooldown until 1230.29s"
1231.05,INFO,"Mister pulse started; ON until 1231.30s, cooldown until 1235.30s"
1255.01,INFO,"Mister pulse started; ON until 1255.26s, cooldown until 1259.26s"
1275.00,INFO,"Mister pulse started; ON until 1275.25s, cooldown until 1279.25s"
1291.01,INFO,"Mister pulse started; ON until 1291.26s, cooldown until 1295.26s"
1309.03,INFO,"Mister pulse started; ON until 1309.28s, cooldown until 1313.28s"
1330.04,INFO,"Mister pulse started; ON until 1330.29s, cooldown until 1334.29s"
1344.03,INFO,"Mister pulse started; ON until 1344.28s, cooldown until 1348.28s"
1353.01,INFO,"Mister pulse started; ON until 1353.26s, cooldown until 1357.26s"
1370.00,INFO,"Mister pulse started; ON until 1370.25s, cooldown until 1374.25s"
1388.02,INFO,"Mister pulse started; ON until 1388.27s, cooldown until 1392.27s"
1409.03,INFO,"Mister pulse started; ON until 1409.28s, cooldown until 1413.28s"
1424.01,INFO,"Mister pulse started; ON until 1424.26s, cooldown until 1428.26s"
1439.03,INFO,"Mister pulse started; ON until 1439.28s, cooldown until 1443.28s"
1451.02,INFO,"Mister pulse started; ON until 1451.27s, cooldown until 1455.27s"
1474.04,INFO,"Mister pulse started; ON until 1474.29s, cooldown until 1478.29s"
